id;vertical_complex_id;tower;floors;total_units;units_per_floor
1;1;A;0;0;0
2;1;B;0;0;0
3;1;C;0;0;0
4;1;D;0;0;0
5;2;A - Aroeira;0;0;0
6;2;B - Buriti;0;0;0
7;2;C - Cedro;0;0;0
8;3;Torre Única;0;0;0
9;4;A - Auguste-Blanqui ;0;0;0
10;4;B - Bonne Nouvelle;0;0;0
11;4;C - Chapelle;0;0;0
12;4;D - Saint Denis;0;0;0
13;4;E - Emile Augler;0;0;0
14;4;F - Flandrin ;0;0;0
15;5;A - Figueira;0;0;0
16;5;B - Manacá;0;0;0
17;6;A - Auguste Renoir;0;0;0
18;6;B - Eugéne Boudin;0;0;0
19;6;C - Claude Monet ;0;0;0
20;6;D - Edgar Degas ;0;0;0
21;7;Torre Única;15;0;0
22;8;Torre Única;0;120;0
23;9;Torre Única;30;0;0
24;12;Torre Única;19;76;0
25;13;A - San Martin;15;120;0
26;13;B - San Diego;0;0;0
27;14;A - Ametista;15;300;0
28;14;B - Berilo;0;0;0
29;14;C - Coral;0;0;0
30;14;D - Diamante ;0;0;0
31;14;E - Esmeralda ;0;0;0
32;15;Torre Única;9;142;0
33;16;Torre Única;15;60;0
34;17;Torre Única;19;200;0
35;18;Torre Única;18;160;0
36;19;Polo;25;144;0
37;19;Golf;0;0;0
38;19;Ski;0;0;0
39;20;Torre Única;14;28;0
40;21;Comercial;0;132;0
41;21;Residencial;0;212;0
42;22;A;0;0;0
43;22;B;23;92;0
44;23;Alphama I ;23;96;0
45;23;Alphama II;0;0;0
46;24;Edifício A ;12;96;4
47;24;Edifício B ;0;0;0
48;25;Torre Única;16;32;2
49;26;Torre Única;10;160;16
50;27;Torre Única;15;240;16
51;28;Torre Única;15;15;1
52;29;Torre Única;17;131;0
53;30;Praia;18;144;8
54;30;Campo;0;0;0
55;31;Torre Única;18;144;8
56;32;Everest Tower;13;156;4
57;32;Mont-Blanc Tower;0;0;0
58;32;Logan Tower;0;0;0
59;33;A;24;96;2
60;33;B;0;0;0
61;34;Torre Única;17;0;0
62;35;Torre Única;18;144;8
63;36;Torre Única;15;120;8
64;37;Torre Única;19;0;0
65;38;Torre Única;20;0;0
66;39;Torre Única;32;120;4
67;40;Torre Norte;30;240;4
68;40;Torre Sul;0;0;0
69;41;Bloco A - Mozart ;0;232;4
70;41;Bloco B - Monet ;0;0;0
71;41;Bloco C - Michelangelo;0;0;0
72;42;Torre Única;15;120;8
73;43;Torre Única;15;60;4
74;44;Itapecuru I ;12;92;0
75;44;Itapecuru II ;0;0;0
76;45;Bloco A - Ilha de Guam;12;96;4
77;45;Bloco B - ilha de Baker;0;0;0
78;46;Bloco A;0;0;0
79;46;Bloco B;0;0;0
80;47;Torre Única;14;167;0
81;48;Torre Única;27;216;0
82;49;Torre Única;12;96;8
83;50;Torre Única;27;243;9
84;51;Torre A;23;249;6
85;51;Torre B ;0;0;0
86;52;Top Ville;0;168;0
87;52;Top Space;0;0;0
88;52;Top Point ;0;0;0
89;53;Bloco A;27;216;4
90;53;Bloco B ;0;0;0
91;54;Torre 1;27;200;4
92;54;Torre 2;0;0;0
93;55;The Garden Gramercy Park;31;60;2
94;55;The Lake Gramercy Park;34;66;2
95;56;Torre Única;26;121;0
96;57;Torre Única;28;84;3
97;58;Torre 1 - Orizzonte;14;168;4
98;58;Torre 2 - Belvedere;0;0;0
99;58;Torre 3 - Riserva;0;0;0
100;59;Bloco 1 - Edifício Elizabeth;26;200;4
101;59;Bloco 2 - Edifício Victória ;0;0;0
102;60;Torre Única;20;120;6
103;61;Torre Única;28;108;4
104;62;Torre 1 - Edifício Ômega;26;364;7
105;62;Torre 2 - Edifício Quintana;0;0;0
106;63;Torre Única;21;168;8
107;64;Torre Única;27;312;12
108;65;Torre Única;28;193;0
109;66;Daphne e Cloe;0;126;0
110;66;Paulo e Virginia;0;0;0
111;66;Dante e Beatriz;0;0;0
112;66;Marília e Dirceu;0;0;0
113;66;Romeu e Julieta;0;0;0
114;66;Abelardo e Heloisa;0;0;0
115;66;Paris e Helena;0;0;0
116;66;Peri e Ceci;0;0;0
117;66;Tristão e Isolda;0;0;0
118;67;Torre Única;36;108;3
119;68;Brascan Century Corporate;0;0;0
120;68;Brascan Century Office;0;0;0
121;68;Oppen Mall ;0;0;0
122;69;Torre A;26;346;0
123;69;Torre B ;23;0;0
124;70;Torre Única;26;81;3
125;71;Torre Única;0;0;0
126;72;Bloco A;36;651;0
127;72;Bloco B ;0;0;0
128;72;Bloco C;0;0;0
129;72;Bloco D ;0;0;0
130;73;Torre Única;9;0;0
131;74;Torre Única;24;184;8
132;75;Torre Única;24;138;6
133;76;Torre Única;25;168;7
134;77;Torre Única;14;84;6
135;78;Torre Única;14;84;6
136;79;Edifício Dijon;14;112;4
137;79;Edifício Lyon ;0;0;0
138;80;Torre A1;14;672;0
139;80;Torre A2;0;0;0
140;80;Torre A3;0;0;0
141;80;Torre B1;0;0;0
142;80;Torre B2;0;0;0
143;80;Torre B3;0;0;0
144;80;Torre B4;0;0;0
145;80;Torre B5;0;0;0
146;80;Torre B6;0;0;0
147;81;Bloco 1;13;302;0
148;81;Bloco 2 ;0;0;0
149;81;Bloco 3;0;0;0
150;81;Bloco 4;0;0;0
151;81;Bloco 5;0;0;0
152;82;Bloco A - Edifício Azaléia ;15;299;4
153;82;Bloco B - Edifício Bromélia;0;0;0
154;82;Bloco C - Edifício Camélia ;0;0;0
155;82;Bloco D - Edifício Dália;0;0;0
156;82;Bloco E - Edifício Érica;0;0;0
157;83;Bloco A1 - Tribeca;14;112;1
158;83;Bloco A2 - Broadway ;0;0;0
159;83;Bloco B1 - Queens;0;0;0
160;83;Bloco B2 - Manhatan ;0;0;0
161;83;Bloco C1 - Times Square ;0;0;0
162;83;Bloco C2 - Soho;0;0;0
163;83;Bloco C3 - East Village ;0;0;0
164;83;Bloco C4 - Brooklin;0;0;0
165;84;Torre A1 - Bio;14;504;4
166;84;Torre B1 - Geo;0;0;0
167;84;Torre A2 - Acqua;0;0;0
168;84;Torre B2 - Lumi;0;0;0
169;84;Torre A3 - Eco;0;0;0
170;84;Torre B3 - Orbis;0;0;0
171;84;Torre A4 - Atmosfere;0;0;0
172;84;Torre B4 - Arbore;0;0;0
173;84;Torre A5 - Ares;0;0;0
174;85;Torre Única;14;0;0
175;86;Torre Residencial 1 ;23;0;0
176;86;Torre Residencial 2;0;0;0
177;86;Torre Comercial ;0;0;0
178;87;Torre Única;17;153;9
179;88;Bloco A - Edifício Paris;22;69;1
180;88;Bloco B - Edifício Roma;0;0;0
181;88;Bloco C - Edifício Madri;0;0;0
182;89;;0;70;0
183;90;;0;92;0
184;91;Art;20;220;0
185;91;Belle;0;0;0
186;92;Torre Única;18;0;0
187;93;Torre 01;18;0;0
188;93;Torre 02;0;0;0
189;93;Torre 03;0;0;0
190;94;Edifício Comercial 01;0;0;0
191;94;Edifício Comercial 02;0;0;0
192;95;Bloco Comercial;0;0;0
193;95;Edifício Comercial Torre 01;0;0;0
194;95;Edifício Comercial Torre 02;0;0;0
195;96;Torre Norte;0;0;0
196;96;Torre Sul;0;0;0
197;96;Condomínio Lojas;0;0;0
198;97;Bloco 1;0;0;0
199;97;Bloco 2;0;0;0
200;98;North tower;0;0;0
201;98;South Tower;0;0;0
202;99;Torre 1;0;0;0
203;99;Torre 2;0;0;0
204;100;Torre Única;0;0;0
205;101;Torre Única;0;0;0
206;102;Bloco A - Edifício Jaçari;0;0;0
207;102;Bloco B - Edifício Padauiri;0;0;0
208;102;Bloco C - Edifício Demini;0;0;0
209;102;Bloco D - Edifício Jauaperi;0;0;0
210;102;Bloco Shopping Rio Negro;0;0;0
211;103;Torre Única;0;0;0
212;104;Torre Única;0;0;0
213;105;Torre Única;0;0;0
214;106;Bloco A;0;0;0
215;106;Bloco B ;0;0;0
216;106;Bloco C ;0;0;0
217;107;Torre Única;0;0;0
218;108;Torre Única;0;0;0
219;109;Torre Única;0;0;0
220;110;Torre Única;0;0;0
221;111;Torre Única;0;0;0
222;112;Torre Única;0;0;0
223;113;Torre Única;0;0;0
224;114;Torre Única;0;0;0
225;115;Torre Única;0;0;0
226;116;Torre Única;0;0;0
227;117;Torre Única;0;0;0
228;118;Torre Única;0;0;0
229;119;Torre Única;0;0;0
230;120;Torre Única;0;0;0
231;121;Torre Única;0;0;0
232;122;Torre Única;0;0;0
233;123;Torre Única;0;0;0
234;124;Torre Única;0;0;0
235;125;Torre Única;0;0;0
236;126;Torre A - Edifício Greene;0;0;0
237;126;Torre B - Edifício Spring;0;0;0
238;126;Torre C - Edifício Mercer ;0;0;0
239;127;Bloco A - Edifício Arpoador;0;0;0
240;127;Bloco B - Edifício Boa Viagem;0;0;0
241;127;Bloco C - Edifício Camburi;0;0;0
242;127;Bloco D - Edifício Dourado;0;0;0
243;127;Bloco E - Edifício Enseada;0;0;0
244;127;Bloco F - Edifício Fortaleza;0;0;0
245;127;Bloco G - Edifício Grumari ;0;0;0
246;128;Bloco A - Edifício Acácia;0;0;0
247;128;Bloco B - Edifício Ipê;0;0;0
248;128;Bloco C - Edifício Flamboyant;0;0;0
249;128;Bloco D - Edifício Jacarandá ;0;0;0
250;129;Bloco A - Edifício Álamo;0;0;0
251;129;Bloco B - Edifício Ébano;0;0;0
252;129;Bloco C - Edifício Plátano;0;0;0
253;130;Bloco A;0;0;0
254;130;Bloco B ;0;0;0
255;131;Mall;0;0;0
256;131;Torre 1;0;0;0
257;131;Torre 2;0;0;0
258;132;Torre D;0;0;0
259;133;Torre A1/B1;0;0;0
260;133;Torre A3/B3;0;0;0
261;133;Torre C;0;0;0
262;134;Edifício Verone I ;0;0;0
263;134;Edifício Verone II;0;0;0
264;135;Torre 01;0;0;0
265;135;Torre 02;0;0;0
266;135;Torre 03;0;0;0
267;136;Torre Única;0;0;0
268;137;Torre Única;0;0;0
269;138;Torre Única;0;0;0
270;139;Torre Única;0;0;0
271;140;Torre Única;0;0;0
272;141;Torre Única;0;0;0
273;142;Condomínio de Casas;0;0;0
274;143;Condomínio de Casas;0;0;0
275;144;Condomínio de Casas;0;0;0
276;145;Condomínio de Casas;0;0;0
277;146;Torre 01;0;0;0
278;146;Torre 02;0;0;0
279;147;Torre Única;0;0;0
280;148;Torre Única;0;0;0
281;149;Torre Única;0;0;0
282;150;Torre Única;0;0;0
283;151;Torre Única;0;0;0
284;152;Torre 1 - Edifício Jacarandá;0;0;0
285;152;Torre 2 - Edifício Jatobá;0;0;0
286;152;Torre 3 - Edifício Ipê;0;0;0
287;152;Torre 4- Edifício Jequitibá;0;0;0
288;152;Torre 5 - Edifício Araucária;0;0;0
289;152;Torre 6 - Edifício Imbuia;0;0;0
290;153;Torre Única;0;0;0
291;154;Torre Única;0;0;0
292;155;Torre Única;0;0;0
293;156;Torre Única;0;0;0
294;157;Torre Única;0;0;0
295;158;Torre Única;0;0;0
296;159;Bloco 1 - Edifício Neroli;0;0;0
297;159;Bloco 2 - Edifício Verbena;0;0;0
298;159;Bloco 3 - Edifício Vetiver;0;0;0
299;160;Torre Única;0;0;0
300;161;Torre Única;0;0;0
301;162;Torre Única;0;0;0
302;163;Torre Única;0;0;0
303;164;Torre Única;0;0;0
304;165;Torre Única;0;0;0
305;10;Torre Única;30;0;0
306;11;Torre Única;30;0;0
